section_id,section,source_col,drug,ticker_or_company,rating,earliest_data_date,metrics_json,12 Mo PFS,18 Mo OS,1st Yr Sale (MM USD),24 Mo OS,24 Mo PFS,6 Mo PFS,BICR ORR,CR,CR (Confirmed),DCR,Date,Dosing Schedule,Evaluable Patients,Indication,Innovation,Latest Sale (MM USD),Market Reaction (+1d),Market Reaction (-1d),Median DFS,Median Follow-Up,Median OS,Median PFS,Median Treatment Line,Median rPFS,ORR,ORR (Confirmed),PFS >= 6 Mo,PR,Patient Number,Readout Phase,Response Evaluable Patient,Result,Route,Stable Disease Rate,Stage,Target,Total Treatment Line,Treatment Line,≥50% PSA Decline Rate,≥90% PSA Decline Rate,≥G3 Clinical AE,≥G3 SAE/Patients,≥G3 clinical AE
0,mUC Drug,E,BT5528,BCYC,BIC,2023-12-14 00:00:00,"{""CR"": ""0"", ""DCR"": ""0.5555"", ""Date"": ""2023-12-14 00:00:00"", ""Evaluable Patients"": ""18"", ""Innovation"": ""BTC"", ""Market Reaction (+1d)"": ""0.167333"", ""Market Reaction (-1d)"": ""-0.089253"", ""Median Treatment Line"": ""4"", ""ORR"": ""0.39"", ""PR"": ""0.39"", ""Readout Phase"": ""I/II"", ""Result"": ""Continuing"", ""Total Treatment Line"": ""1+"", ""Treatment Line"": ""1+, mUC"", ""≥G3 SAE/Patients"": ""0.27"", ""≥G3 clinical AE"": ""Anemia, Neutropenia""}",,,,,,,,0,,0.5555,2023-12-14 00:00:00,,18,,BTC,,0.167333,-0.089253,,,,,4,,0.39,,,0.39,,I/II,,Continuing,,,,,1+,"1+, mUC",,,,0.27,"Anemia, Neutropenia"
0,mUC Drug,F,Zelenectide,BCYC,BIC,2021-10-07 00:00:00,"{""DCR"": ""0.75"", ""Date"": ""2021-10-07 00:00:00"", ""Evaluable Patients"": ""4"", ""Innovation"": ""ADC"", ""Market Reaction (+1d)"": ""0.083385"", ""Market Reaction (-1d)"": ""0.167626"", ""ORR"": ""0.25"", ""Readout Phase"": ""I"", ""Result"": ""Continuing"", ""Total Treatment Line"": ""2+"", ""Treatment Line"": ""2+"", ""≥G3 SAE/Patients"": ""0.1428"", ""≥G3 clinical AE"": ""Anemia, Neutropenia""}",,,,,,,,,,0.75,2021-10-07 00:00:00,,4,,ADC,,0.083385,0.167626,,,,,,,0.25,,,,,I,,Continuing,,,,,2+,2+,,,,0.1428,"Anemia, Neutropenia"
0,mUC Drug,J,Padcev,JNJ,BIC,2019-06-03 00:00:00,"{""CR"": ""0.12"", ""Date"": ""2019-06-03 00:00:00"", ""Evaluable Patients"": ""125"", ""Innovation"": ""Mono Antibody"", ""Latest Sale (MM USD)"": ""712"", ""Market Reaction (+1d)"": ""0.017423"", ""Market Reaction (-1d)"": ""0.002211"", ""Median OS"": ""11.7"", ""Median rPFS"": ""5.8"", ""ORR"": ""0.44"", ""Readout Phase"": ""II"", ""Result"": ""Approved"", ""Total Treatment Line"": ""1+"", ""Treatment Line"": ""2+"", ""≥G3 SAE/Patients"": ""14% (Mono), 53.9% (+KEYTRUDA)""}",,,,,,,,0.12,,,2019-06-03 00:00:00,,125,,Mono Antibody,712,0.017423,0.002211,,,11.7,,,5.8,0.44,,,,,II,,Approved,,,,,1+,2+,,,,"14% (Mono), 53.9% (+KEYTRUDA)",
0,mUC Drug,Q,Balversa,4503 JP Equity,,2018-06-03 00:00:00,"{""CR"": ""0.03"", ""DCR"": ""0.8"", ""Date"": ""2018-06-03 00:00:00"", ""Evaluable Patients"": ""99"", ""Innovation"": ""Oral"", ""Latest Sale (MM USD)"": ""107"", ""Market Reaction (+1d)"": ""0.003247"", ""Market Reaction (-1d)"": ""0.017723"", ""Median OS"": ""13.8"", ""Median rPFS"": ""5.5"", ""ORR"": ""0.4"", ""PR"": ""0.37"", ""Readout Phase"": ""II"", ""Result"": ""Approved"", ""Total Treatment Line"": ""1+"", ""Treatment Line"": ""1"", ""≥G3 SAE/Patients"": ""0.459"", ""≥G3 clinical AE"": ""1 Patient died""}",,,,,,,,0.03,,0.8,2018-06-03 00:00:00,,99,,Oral,107,0.003247,0.017723,,,13.8,,,5.5,0.4,,,0.37,,II,,Approved,,,,,1+,1,,,,0.459,1 Patient died
0,mUC Drug,T,Yervoy,BMY,,2023-10-22 00:00:00,"{""CR"": ""0.217"", ""Date"": ""2023-10-22 00:00:00"", ""Evaluable Patients"": ""304"", ""Innovation"": ""Mono Antibody"", ""Market Reaction (+1d)"": ""-0.008147"", ""Market Reaction (-1d)"": ""-0.000354"", ""Median OS"": ""21.7"", ""Median rPFS"": ""7.9"", ""ORR"": ""0.576"", ""PR"": ""0.359"", ""Readout Phase"": ""III"", ""Result"": ""Continuing"", ""Total Treatment Line"": ""1"", ""Treatment Line"": ""1L, +Gemzar"", ""≥G3 SAE/Patients"": ""0.618""}",,,,,,,,0.217,,,2023-10-22 00:00:00,,304,,Mono Antibody,,-0.008147,-0.000354,,,21.7,,,7.9,0.576,,,0.359,,III,,Continuing,,,,,1,"1L, +Gemzar",,,,0.618,
0,mUC Drug,U,Cabometyx,BMY,,2018-06-02 00:00:00,"{""Date"": ""2018-06-02 00:00:00"", ""Evaluable Patients"": ""15"", ""Innovation"": ""Mono Antibody"", ""Market Reaction (+1d)"": ""-0.031621"", ""Market Reaction (-1d)"": ""0.009692"", ""Median rPFS"": ""24.1"", ""ORR"": ""0.5"", ""Readout Phase"": ""II"", ""Result"": ""Continuing"", ""Total Treatment Line"": ""1+"", ""Treatment Line"": ""1L, +Opdivo"", ""≥G3 SAE/Patients"": ""0.45"", ""≥G3 clinical AE"": ""Fatigue, HTN, Thromboembolic events (14%)""}",,,,,,,,,,,2018-06-02 00:00:00,,15,,Mono Antibody,,-0.031621,0.009692,,,,,,24.1,0.5,,,,,II,,Continuing,,,,,1+,"1L, +Opdivo",,,,0.45,"Fatigue, HTN, Thromboembolic events (14%)"
1,+ KEYTRUDA 1L Melanoma,E,IOB-013,,BIC,,"{""CR (Confirmed)"": ""0.35"", ""Innovation"": ""Cancer Vaccine"", ""Median Follow-Up"": ""32.4"", ""Median OS"": ""-"", ""Median PFS"": ""22"", ""ORR (Confirmed)"": ""0.7"", ""Patient Number"": ""225"", ""Readout Phase"": ""III"", ""Result"": ""-"", ""Stage"": ""Metastatic""}",,,,,,,,,0.35,,,,,,Cancer Vaccine,,,,,32.4,-,22,,,,0.7,,,225,III,,-,,,Metastatic,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,F,IOB-103 (OPDIVO),,BIC,44659,"{""CR (Confirmed)"": ""0.467"", ""Date"": ""44659"", ""Median Follow-Up"": ""32.4"", ""Median OS"": ""-"", ""Median PFS"": ""25.3"", ""ORR (Confirmed)"": ""0.73"", ""Patient Number"": ""30"", ""Readout Phase"": ""I/II"", ""Result"": ""Into Phase III""}",,,,,,,,,0.467,,44659,,,,,,,,,32.4,-,25.3,,,,0.73,,,30,I/II,,Into Phase III,,,,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,G,EVX-01,,AVG,45460,"{""CR (Confirmed)"": ""0.167"", ""Date"": ""45460"", ""Innovation"": ""Cancer Vaccine"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.67"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""12"", ""Readout Phase"": ""I/II"", ""Result"": ""Continuing"", ""Stage"": ""Metastatic""}",,,,,,,,,0.167,,45460,,,,Cancer Vaccine,,,,,-,-,-,,,,0.67,-,,12,I/II,,Continuing,,,Metastatic,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,H,Amtagvi,,T1,44656,"{""CR (Confirmed)"": ""0.25"", ""Date"": ""44656"", ""Innovation"": ""Oral"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.67"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""12"", ""Readout Phase"": ""I/II"", ""Result"": ""Approved"", ""Stage"": ""Advanced""}",,,,,,,,,0.25,,44656,,,,Oral,,,,,-,-,-,,,,0.67,-,,12,I/II,,Approved,,,Advanced,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,J,Imlygic,,AVG,42537,"{""CR (Confirmed)"": ""0.14"", ""Date"": ""42537"", ""Innovation"": ""Viral Vector"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.48"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""21"", ""Readout Phase"": ""I/III"", ""Result"": ""Terminated"", ""Stage"": ""Advanced""}",,,,,,,,,0.14,,42537,,,,Viral Vector,,,,,-,-,-,,,,0.48,-,,21,I/III,,Terminated,,,Advanced,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,K,PV-10,,T1,43619,"{""CR (Confirmed)"": ""0.09"", ""Date"": ""43619"", ""Innovation"": ""Molecule"", ""Median Follow-Up"": ""24"", ""Median OS"": ""-"", ""Median PFS"": ""12.3 Mo"", ""ORR (Confirmed)"": ""0.65"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""23"", ""Readout Phase"": ""II"", ""Result"": ""Continuing"", ""Stage"": ""Advanced""}",,,,,,,,,0.09,,43619,,,,Molecule,,,,,24,-,12.3 Mo,,,,0.65,-,,23,II,,Continuing,,,Advanced,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,M,TAVO,,AVG,43957,"{""CR (Confirmed)"": ""0.36"", ""Date"": ""43957"", ""Innovation"": ""Gene Therapy"", ""Median Follow-Up"": ""19.3"", ""Median OS"": ""-"", ""Median PFS"": ""5.6"", ""ORR (Confirmed)"": ""0.41"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""22"", ""Readout Phase"": ""II"", ""Result"": ""Continuing"", ""Stage"": ""Advanced""}",,,,,,,,,0.36,,43957,,,,Gene Therapy,,,,,19.3,-,5.6,,,,0.41,-,,22,II,,Continuing,,,Advanced,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,N,KEYTRUDA,,,,"{""CR (Confirmed)"": ""0.0859"", ""Median Follow-Up"": ""55"", ""Median PFS"": ""16.9 Mo"", ""ORR (Confirmed)"": ""0.342"", ""Stage"": ""Metastatic""}",,,,,,,,,0.0859,,,,,,,,,,,55,,16.9 Mo,,,,0.342,,,,,,,,,Metastatic,,,,,,,,
1,+ KEYTRUDA 1L Melanoma,O,Autogene Cevumeran,,,,"{""Innovation"": ""Cancer Vaccine"", ""Result"": ""Delayed""}",,,,,,,,,,,,,,,Cancer Vaccine,,,,,,,,,,,,,,,,,Delayed,,,,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,E,IOB-022,IOBT,T1,45222,"{""Date"": ""45222"", ""Innovation"": ""Cancer Vaccine"", ""ORR (Confirmed)"": ""0.56"", ""PFS >= 6 Mo"": ""12:00:00"", ""Patient Number"": ""18"", ""Readout Phase"": ""II"", ""Stage"": ""Metastatic""}",,,,,,,,,,,45222,,,,Cancer Vaccine,,,,,,,,,,,0.56,12:00:00,,18,II,,,,,Metastatic,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,F,Cyramza,LLY,AVG,43656,"{""Date"": ""43656"", ""Innovation"": ""Mono Antibody"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.3"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""27"", ""Readout Phase"": ""I"", ""Result"": ""Approved"", ""Stage"": ""Advanced""}",,,,,,,,,,,43656,,,,Mono Antibody,,,,,-,-,-,,,,0.3,-,,27,I,,Approved,,,Advanced,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,G,Enoblituzumab,MGNX,AVG,43415,"{""Date"": ""43415"", ""Innovation"": ""Mono Antibody"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.357"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""14"", ""Readout Phase"": ""I"", ""Result"": ""Continuing"", ""Stage"": ""Any""}",,,,,,,,,,,43415,,,,Mono Antibody,,,,,-,-,-,,,,0.357,-,,14,I,,Continuing,,,Any,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,H,IMP-321,IMMP,AVG,43777,"{""Date"": ""43777"", ""Innovation"": ""Protein"", ""Median Follow-Up"": ""5.6"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.41"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""17"", ""Readout Phase"": ""I"", ""Result"": ""Continuing"", ""Stage"": ""Any""}",,,,,,,,,,,43777,,,,Protein,,,,,5.6,-,-,,,,0.41,-,,17,I,,Continuing,,,Any,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,J,Krazati,BMY,BIC,44902,"{""Date"": ""44902"", ""Innovation"": ""Oral"", ""Median Follow-Up"": ""19.3"", ""Median OS"": ""-"", ""Median PFS"": ""-"", ""ORR (Confirmed)"": ""0.57"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""7"", ""Readout Phase"": ""III"", ""Result"": ""Approved"", ""Stage"": ""Any""}",,,,,,,,,,,44902,,,,Oral,,,,,19.3,-,-,,,,0.57,-,,7,III,,Approved,,,Any,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,K,Lenvima,4523 JP Equity,BIC,44540,"{""Date"": ""44540"", ""Innovation"": ""Oral"", ""Median Follow-Up"": ""-"", ""Median OS"": ""-"", ""Median PFS"": ""6.6"", ""ORR (Confirmed)"": ""0.405"", ""PFS >= 6 Mo"": ""15:41:45.600000"", ""Patient Number"": ""309"", ""Readout Phase"": ""III"", ""Result"": ""Continuing"", ""Stage"": ""Metastatic""}",,,,,,,,,,,44540,,,,Oral,,,,,-,-,6.6,,,,0.405,15:41:45.600000,,309,III,,Continuing,,,Metastatic,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,L,MK-1308,MRK,AVG,44120,"{""Date"": ""44120"", ""Innovation"": ""Mono Antibody"", ""Median Follow-Up"": ""16.9"", ""Median OS"": ""16.5"", ""Median PFS"": ""6.1"", ""ORR (Confirmed)"": ""0.351"", ""PFS >= 6 Mo"": ""-"", ""Patient Number"": ""134"", ""Readout Phase"": ""I/II"", ""Result"": ""Continuing"", ""Stage"": ""Advanced""}",,,,,,,,,,,44120,,,,Mono Antibody,,,,,16.9,16.5,6.1,,,,0.351,-,,134,I/II,,Continuing,,,Advanced,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,M,Portrazza,LLY,AVG,42710,"{""Date"": ""42710"", ""Innovation"": ""Mono Antibody"", ""Median Follow-Up"": ""6"", ""Median OS"": ""-"", ""Median PFS"": ""6.9"", ""ORR (Confirmed)"": ""0.294"", ""PFS >= 6 Mo"": ""13:13:26.400000"", ""Patient Number"": ""34"", ""Readout Phase"": ""I"", ""Result"": ""Approved"", ""Stage"": ""Advanced""}",,,,,,,,,,,42710,,,,Mono Antibody,,,,,6,-,6.9,,,,0.294,13:13:26.400000,,34,I,,Approved,,,Advanced,,,,,,,,
2,+ KEYTRUDA 1L NSCLC,N,KEYTRUDA + Placebo,MRK,,,"{""ORR (Confirmed)"": ""0.277"", ""Patient Number"": ""314"", ""Stage"": ""Metastatic""}",,,,,,,,,,,,,,,,,,,,,,,,,,0.277,,,314,,,,,,Metastatic,,,,,,,,
3,ROS1-Positive NSCLC Drug,E,Zidesamtinib,NUVL,T1,44862,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""\\"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0.78"", ""Date"": ""44862"", ""Indication"": ""ROS1+ NSCLC"", ""Median Follow-Up"": ""\\"", ""Median rPFS"": ""\\"", ""Patient Number"": ""9"", ""Readout Phase"": ""1/2"", ""Result"": ""Continuing"", ""Target"": ""ROS1"", ""Total Treatment Line"": ""1+"", ""Treatment Line"": ""1L, ROS1 Mut""}",\,\,\,\,\,\,0.78,,,,44862,,,ROS1+ NSCLC,,,,,,\,,,,\,,,,,9,1/2,,Continuing,,,,ROS1,1+,"1L, ROS1 Mut",,,,,
3,ROS1-Positive NSCLC Drug,I,Taletrectinib,NUVB,BIC,,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""\\"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0.667"", ""Indication"": ""ROS1+ TKI Naïve"", ""Median Follow-Up"": ""\\"", ""Median rPFS"": ""29.1"", ""Patient Number"": ""9"", ""Readout Phase"": ""1"", ""Result"": ""Continuing"", ""Target"": ""Trk/ROS1"", ""Treatment Line"": ""1900-01-01 00:00:00""}",\,\,\,\,\,\,0.667,,,,,,,ROS1+ TKI Naïve,,,,,,\,,,,29.1,,,,,9,1,,Continuing,,,,Trk/ROS1,,1900-01-01 00:00:00,,,,,
3,ROS1-Positive NSCLC Drug,R,Augtyro,4503 JP Equity,BIC,43620,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""49"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0.7"", ""Date"": ""43620"", ""Indication"": ""ROS1+ TKI Naïve"", ""Median Follow-Up"": ""\\"", ""Median rPFS"": ""\\"", ""Patient Number"": ""10"", ""Readout Phase"": ""1"", ""Result"": ""Approved"", ""Target"": ""ALK/Trk/ROS1"", ""Treatment Line"": ""1900-01-01 00:00:00""}",\,\,49,\,\,\,0.7,,,,43620,,,ROS1+ TKI Naïve,,,,,,\,,,,\,,,,,10,1,,Approved,,,,ALK/Trk/ROS1,,1900-01-01 00:00:00,,,,,
3,ROS1-Positive NSCLC Drug,V,Rozlytrek,,AVG,43756,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""28"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0.69"", ""Date"": ""43756"", ""Indication"": ""ROS1+ NSCLC"", ""Median Follow-Up"": ""8.5"", ""Median rPFS"": ""29.6"", ""Patient Number"": ""32"", ""Readout Phase"": ""2"", ""Result"": ""Approved"", ""Target"": ""ALK/Trk/ROS1"", ""Treatment Line"": ""1+""}",\,\,28,\,\,\,0.69,,,,43756,,,ROS1+ NSCLC,,,,,,8.5,,,,29.6,,,,,32,2,,Approved,,,,ALK/Trk/ROS1,,1+,,,,,
3,ROS1-Positive NSCLC Drug,X,APG-2449,,AVG,2022-06-07 00:00:00,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""\\"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0.286"", ""Date"": ""2022-06-07 00:00:00"", ""Indication"": ""ALK+/ROS1+ NSCLC TKI Pretreated"", ""Median Follow-Up"": ""\\"", ""Median rPFS"": ""\\"", ""Patient Number"": ""14"", ""Readout Phase"": ""1"", ""Result"": ""Continuing"", ""Target"": ""FAK/ALK/ROS1"", ""Treatment Line"": ""2""}",\,\,\,\,\,\,0.286,,,,2022-06-07 00:00:00,,,ALK+/ROS1+ NSCLC TKI Pretreated,,,,,,\,,,,\,,,,,14,1,,Continuing,,,,FAK/ALK/ROS1,,2,,,,,
3,ROS1-Positive NSCLC Drug,Z,TSR-011,,,2013-09-30 00:00:00,"{""12 Mo PFS"": ""\\"", ""18 Mo OS"": ""\\"", ""1st Yr Sale (MM USD)"": ""\\"", ""24 Mo OS"": ""\\"", ""24 Mo PFS"": ""\\"", ""6 Mo PFS"": ""\\"", ""BICR ORR"": ""0"", ""Date"": ""2013-09-30 00:00:00"", ""Indication"": ""ALK+ NSCLC"", ""Median Follow-Up"": ""\\"", ""Median rPFS"": ""\\"", ""Patient Number"": ""17"", ""Readout Phase"": ""1"", ""Result"": ""Suspended"", ""Target"": ""ALK/Trk"", ""Treatment Line"": ""2""}",\,\,\,\,\,\,0,,,,2013-09-30 00:00:00,,,ALK+ NSCLC,,,,,,\,,,,\,,,,,17,1,,Suspended,,,,ALK/Trk,,2,,,,,
